field,value
upload_id,3f4a6046-17e0-4ef7-83f5-438b8fc53313
department,Science
filename,sci-ingest-20260102-0823.csv
rows,4
cols,7
columns,"student_id, student_name, class, score, attendance_percent, status, recorded_at"
score.count,4.0
score.mean,86.375
score.std,4.931784666832081
score.min,79.8
score.25%,84.45
score.50%,87.1
score.75%,89.025
score.max,91.5
attendance_percent.count,4.0
attendance_percent.mean,93.5
attendance_percent.std,2.886751345948129
attendance_percent.min,90.0
attendance_percent.25%,92.25
attendance_percent.50%,93.5
attendance_percent.75%,94.75
attendance_percent.max,97.0
