field,value
upload_id,c5b7d871-9b7f-4e74-8881-aa22ff52a73e
department,Examination
filename,exm-ingest-20260119-1706.csv
rows,4
cols,7
columns,"student_id, student_name, class, score, attendance_percent, status, recorded_at"
score.count,4.0
score.mean,80.8
score.std,9.845134161943486
score.min,69.0
score.25%,75.375
score.50%,81.1
score.75%,86.525
score.max,92.0
attendance_percent.count,4.0
attendance_percent.mean,91.625
attendance_percent.std,3.449033681095813
attendance_percent.min,88.0
attendance_percent.25%,89.5
attendance_percent.50%,91.25
attendance_percent.75%,93.375
attendance_percent.max,96.0
